City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Ribeira Grande,PT,38.5167,-28.7,60.8,100,75,8.05,broken clouds
187,Puerto Del Rosario,ES,28.5004,-13.8627,57.2,82,40,13.8,scattered clouds
188,Champerico,GT,14.3,-91.9167,91.4,43,20,6.91,few clouds
189,Praia Da Vitoria,PT,38.7333,-27.0667,60.01,100,40,12.64,light intensity drizzle
190,Te Anau,NZ,-45.4167,167.7167,53.22,76,57,1.12,broken clouds
191,Bethel,US,41.3712,-73.414,35.6,44,1,3.44,clear sky
192,Poddorye,RU,57.4695,31.1156,8.29,95,92,1.19,overcast clouds
193,Namibe,AO,-15.1961,12.1522,71.49,71,13,8.1,few clouds
194,Pitea,SE,65.3172,21.4794,14.0,92,90,9.22,snow
195,Juegang,CN,32.3174,121.1855,33.01,57,100,6.62,overcast clouds
196,Winnemucca,US,40.973,-117.7357,39.2,48,20,6.91,few clouds
197,San Cristobal,VE,7.7669,-72.225,86.0,58,40,8.05,scattered clouds
198,Mendoza,AR,-32.8908,-68.8272,91.4,27,20,5.75,few clouds
199,Mehamn,NO,71.0357,27.8492,12.2,73,0,16.11,clear sky
200,Sao Filipe,CV,14.8961,-24.4956,71.17,71,100,21.54,overcast clouds
201,Flin Flon,CA,54.7682,-101.865,19.4,79,40,9.22,scattered clouds
202,Bria,CF,6.5423,21.9863,71.87,23,1,2.57,clear sky
203,La Asuncion,VE,11.0333,-63.8628,79.43,80,62,16.44,broken clouds
204,Veraval,IN,20.9,70.3667,71.94,52,89,12.15,overcast clouds
205,Bonavista,CA,48.6499,-53.1147,32.0,100,100,5.75,overcast clouds
206,San Jeronimo,PE,-11.9472,-75.2829,60.13,49,84,4.85,moderate rain
207,Axim,GH,4.8699,-2.2405,79.77,84,0,8.93,clear sky
208,Nanortalik,GL,60.1432,-45.2371,32.47,93,100,5.32,overcast clouds
209,Goalpara,IN,26.1667,90.6167,63.19,64,9,2.98,clear sky
210,Sola,VU,-13.8833,167.55,82.9,75,83,6.69,light rain
211,Muzhi,RU,65.3667,64.6667,-21.14,86,0,3.29,clear sky
212,Dauphin,CA,51.1494,-100.0502,28.33,94,100,12.84,overcast clouds
213,Lavrentiya,RU,65.5833,-171.0,-15.95,82,0,10.94,clear sky
214,Port Lincoln,AU,-34.7333,135.8667,79.41,27,99,15.84,overcast clouds
215,Northam,GB,51.0333,-4.2167,45.0,87,87,7.0,overcast clouds
216,Sakakah,SA,29.9697,40.2064,53.6,66,0,6.91,clear sky
217,Port Blair,IN,11.6667,92.75,78.75,83,56,8.12,broken clouds
218,Atar,MR,20.5169,-13.0499,57.47,35,0,12.33,clear sky
219,Hede,CN,33.7681,120.2517,28.83,86,100,4.45,overcast clouds
220,Airai,TL,-8.9266,125.4092,61.59,100,43,0.38,light rain
221,Gorontalo,ID,0.5412,123.0595,74.26,86,31,3.31,scattered clouds
222,Komsomolskiy,UZ,40.4272,71.7189,21.2,73,0,2.3,mist
223,Marshall,US,34.3834,-86.3333,43.0,60,1,3.44,clear sky
224,Aripuana,BR,-9.1667,-60.6333,85.17,74,62,1.34,light rain
225,Avera,US,33.194,-82.5271,51.8,46,1,4.61,clear sky
226,Pingliang,CN,35.5392,106.6861,15.58,70,0,10.11,clear sky
227,Blagoyevo,RU,63.3667,47.9167,-6.43,90,0,5.73,clear sky
228,Baker City,US,44.7749,-117.8344,39.2,60,1,12.66,clear sky
229,Verkhnetulomskiy,RU,68.6073,31.7962,-5.8,77,0,5.55,clear sky
230,Berlevag,NO,70.8578,29.0864,12.2,62,0,33.38,clear sky
231,Klaksvik,FO,62.2266,-6.589,30.2,59,75,13.8,broken clouds
232,Longyearbyen,SJ,78.2186,15.6401,28.4,74,75,9.22,broken clouds
233,Pangody,RU,65.85,74.4859,-27.74,86,0,5.03,clear sky
234,Aksu,CN,41.1231,80.2644,10.42,79,0,4.25,clear sky
235,Hambantota,LK,6.1241,81.1185,76.32,82,100,5.82,light rain
236,Gonbad-E Qabus,IR,37.25,55.1672,47.95,45,0,6.96,clear sky
237,Sunland Park,US,31.7965,-106.58,43.0,48,90,5.53,overcast clouds
238,Lipin Bor,RU,60.2622,37.9763,5.09,95,91,4.72,overcast clouds
239,Ingham,US,42.6,-84.3833,32.0,74,40,2.66,scattered clouds
240,Itarema,BR,-2.9248,-39.9167,80.01,75,0,12.66,clear sky
241,Sirjan,IR,29.452,55.6814,35.96,64,0,2.82,clear sky
242,Sitka,US,57.0531,-135.33,42.8,81,90,17.27,light rain
243,Basco,PH,20.4487,121.9702,69.37,75,23,24.05,few clouds
244,Gao,ML,16.6362,1.637,75.58,17,0,7.09,clear sky
245,Enid,US,36.3956,-97.8784,41.0,75,90,5.75,overcast clouds
246,Belmonte,BR,-15.8631,-38.8828,82.4,83,75,4.61,broken clouds
247,Port Hedland,AU,-20.3167,118.5667,80.6,94,99,8.75,overcast clouds
248,Ilulissat,GL,69.2167,-51.1,17.6,67,75,4.61,broken clouds
249,Amahai,ID,-3.3333,128.9167,84.99,91,84,3.0,broken clouds
250,Iqaluit,CA,63.7506,-68.5145,5.0,78,75,13.8,snow
251,Lakselv,NO,70.0513,24.9718,10.4,72,40,26.46,light snow
252,Talnakh,RU,69.4865,88.3972,-15.61,86,100,5.64,overcast clouds
253,Henties Bay,NA,-22.116,14.2845,69.01,86,94,5.01,overcast clouds
254,Holme,DK,56.1138,10.1725,33.8,100,90,6.91,fog
255,Baherden,TM,38.4362,57.4316,42.48,53,0,4.34,clear sky
256,Taga,RO,46.95,24.05,28.4,93,40,1.14,light snow
257,Biharamulo,TZ,-2.6319,31.3089,61.93,97,95,2.82,overcast clouds
258,Kaitangata,NZ,-46.2817,169.8464,57.99,53,39,8.01,scattered clouds
259,Fomboni,KM,-12.28,43.7425,83.3,72,80,17.4,broken clouds
260,Tasiilaq,GL,65.6145,-37.6368,17.6,53,40,6.06,scattered clouds
261,Makakilo City,US,21.3469,-158.0858,80.6,61,0,11.5,clear sky
262,Lokosovo,RU,61.1333,74.8167,-22.58,87,75,6.24,broken clouds
263,Sayat,TM,38.7839,63.8803,28.4,80,1,11.5,clear sky
264,Sokolniki,PL,50.638,21.8065,33.01,80,92,1.32,overcast clouds
265,Saint-Francois,FR,46.4154,3.9054,27.0,86,0,4.61,clear sky
266,Georgetown,MY,5.4112,100.3354,77.0,83,20,2.3,few clouds
267,Karonga,MW,-9.9333,33.9333,76.68,75,100,6.51,light rain
268,Souillac,MU,-20.5167,57.5167,78.8,94,75,5.75,light rain
269,Abha,SA,18.2164,42.5053,51.8,40,0,4.61,clear sky
270,Yenagoa,NG,4.9247,6.2642,77.2,89,15,5.41,few clouds
271,Lagoa,PT,39.05,-27.9833,60.84,90,26,7.02,scattered clouds
272,Newberry,US,34.2746,-81.6187,51.01,51,48,1.01,scattered clouds
273,Yerbogachen,RU,61.2767,108.0108,-16.44,88,100,5.35,overcast clouds
274,Boddam,GB,57.4667,-1.7833,41.0,87,100,8.05,light rain
275,Saint-Joseph,RE,-21.3667,55.6167,78.8,89,75,14.97,light rain
276,Auki,SB,-8.7676,160.7034,81.72,80,94,3.27,moderate rain
277,Zabolotovka,RU,50.2737,39.3147,27.09,97,99,6.38,overcast clouds
278,Kasongo-Lunda,CD,-6.4667,16.8167,70.68,78,75,1.52,broken clouds
279,Muros,ES,42.7762,-9.0603,46.0,62,2,5.99,clear sky
280,Abu Samrah,SY,35.3029,37.1841,49.53,49,0,2.57,clear sky
281,Rio Grande,BR,-32.035,-52.0986,91.4,52,0,17.27,clear sky
282,Grand-Lahou,CI,5.1367,-5.0242,79.25,85,82,9.89,light rain
283,Oranjemund,NA,-28.55,16.4333,62.69,83,0,15.1,clear sky
284,Karratha,AU,-20.7377,116.8463,86.11,67,55,5.7,light rain
285,Fukue,JP,32.6881,128.8419,42.84,65,100,10.83,overcast clouds
286,Kavieng,PG,-2.5744,150.7967,82.15,75,100,4.36,moderate rain
287,Saldanha,ZA,-33.0117,17.9442,60.8,72,0,12.66,clear sky
288,Oktyabrskiy,RU,54.4815,53.471,9.75,94,100,10.63,overcast clouds
289,Yarada,IN,17.65,83.2667,66.2,88,91,2.3,mist
290,Valuyki,RU,50.2035,38.1067,28.08,96,96,6.91,overcast clouds
291,Fort-Shevchenko,KZ,44.5086,50.263,36.84,89,100,21.18,overcast clouds
292,Jalu,LY,29.0331,21.5482,66.58,38,31,9.1,scattered clouds
293,Tula,RU,54.2044,37.6111,3.83,94,66,5.53,broken clouds
294,Miri,MY,4.4148,114.0089,75.2,100,40,6.91,moderate rain
295,Totness,SR,5.8833,-56.3167,79.88,78,45,14.27,scattered clouds
296,Luderitz,NA,-26.6481,15.1594,70.54,60,18,24.29,few clouds
